Country,ISO,Latitude,Longitude,Beach,Species,IDN,ID_MJ,MPA_NAME,COUNTRY_2,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y
Seychelles,SC,-4.608404000000000,55.496316000000000,Five beaches in the Sainte Anne Marine Park,Eretmochelys imbricata,"137","521",Ste. Anne,Seychelles,Seychelles,Marine National Park,Working,National,National,"1973",Not described,Seychelles National Parks Authority (SNPA),II,,"10",9.65521000000,31.47480000000,55.50120000000,-4.62088000000
Seychelles,SC,-4.579147000000000,55.941704999999999,Frigate Island,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.579147000000000,55.941704999999999,Frigate Island,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.302430000000000,55.680450000000000,"Grand Anse Kerlan, Lemuria Resort",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.302430000000000,55.680450000000000,"Grand Anse Kerlan, Lemuria Resort",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.497012000000000,55.225740999999999,Grande Barbe,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-3.723000000000000,55.210000000000001,Granitics (point placed on Bird Island),Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-5.849000000000000,55.392000000000003,Ile Plate,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.664950000000000,55.522100000000002,"Jetty Beach, Pezula Resort",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.664950000000000,55.522100000000002,"Jetty Beach, Pezula Resort",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.494420000000000,55.250799999999998,La Passe,Eretmochelys imbricata,"135","519",Silhouette,Seychelles,Seychelles,Marine National Park,Working,National,National,"1987",Not described,Seychelles National Parks Authority (SNPA),II,,"10",21.41430000000,46.14030000000,55.23070000000,-4.48799000000
Seychelles,SC,-4.585000000000000,55.466000000000001,Northeast Point,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.391389000000000,55.248108000000002,North Island,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.299866000000000,55.678300000000000,"Petite Anse Kerlan, Lemuria Resort",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.299866000000000,55.678300000000000,"Petite Anse Kerlan, Lemuria Resort",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.746050000000000,55.463966999999997,"Petite Anse Soleil, West Mahé",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.746050000000000,55.463966999999997,"Petite Anse Soleil, West Mahé",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.754583000000000,55.464717000000000,"Petite Anse, West Mahé",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.754583000000000,55.464717000000000,"Petite Anse, West Mahé",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.486362000000000,55.213988999999998,Pointe Etienne,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-5.776770000000000,53.306460999999999,Poivre Islands,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.304916000000001,55.681330000000003,"Presidents Beach, Lemuria Resort",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.304916000000001,55.681330000000003,"Presidents Beach, Lemuria Resort",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.663500000000000,55.522666999999998,"Presidents Beach, Pezula Resort",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.663500000000000,55.522666999999998,"Presidents Beach, Pezula Resort",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-5.688583000000000,53.672499999999999,South-western end (Madame Zabre to Bombay),Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-5.688583000000000,53.672499999999999,South-western end (Madame Zabre to Bombay),Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.664800000000000,55.524349999999998,"Turtle Beach, Pezula Resort",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.664800000000000,55.524349999999998,"Turtle Beach, Pezula Resort",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.787267000000000,55.528300000000002,"Unnamed beach, South East Mahé",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.787267000000000,55.528300000000002,"Unnamed beach, South East Mahé",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.666100000000000,55.523150000000001,"Villa Beach, Pezula Resort",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.666100000000000,55.523150000000001,"Villa Beach, Pezula Resort",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
South Africa,ZA,-27.164999999999999,32.805000000000000,Mabibi to Kosi Lake,Caretta caretta,,,,,,,,,,,,,,,,,,,
South Africa,ZA,-27.164999999999999,32.805000000000000,Mabibi to Kosi Lake,Dermochelys coriacea,,,,,,,,,,,,,,,,,,,
South Africa,ZA,-27.190180000000002,32.804220000000001,Maputaland,Dermochelys coriacea,,,,,,,,,,,,,,,,,,,
"Tanzania, United Republic of",TZ,-7.747269000000000,39.830492000000000,Mafia Island,Chelonia mydas,"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000
"Tanzania, United Republic of",TZ,-7.747269000000000,39.830492000000000,Mafia Island,Eretmochelys imbricata,"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000
"Tanzania, United Republic of",TZ,-5.375356000000000,39.612811000000001,"Misali Island, Pembe",Chelonia mydas,,,,,,,,,,,,,,,,,,,
"Tanzania, United Republic of",TZ,-5.820743000000000,39.384196000000003,"Mnemba Island, Unguja",Chelonia mydas,,,,,,,,,,,,,,,,,,,
"Tanzania, United Republic of",TZ,-10.246109000000001,40.339359999999999,Mtwara,Chelonia mydas,"36","75",Mnazi Bay-Ruvuma Estuary,Tanzania,Tanzania,Marine Park,Working,National,National,"2000",Multiple-use Zone,Marine Parks and Reserves Unit (MPRU),IV,,"650",550.45200000000,123.85500000000,40.34910000000,-10.36120000000
