Country,ISO,Latitude,Longitude,Beach,Species,IDN,ID_MJ,MPA_NAME,COUNTRY_2,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y
Kenya,KE,-1.965670000000000,41.312829999999998,Mongoni,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-1.849330000000000,41.428500000000000,Mtumumwe,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-1.852000000000000,41.425170000000001,Mwanabule,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-1.854830000000000,41.423330000000000,Mwongo shariff,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-1.935330000000000,41.339829999999999,Porcupine,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-3.314427000000000,40.064703999999999,Watamu,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Kenya,KE,-3.314427000000000,40.064703999999999,Watamu,Lepidochelys olivacea,,,,,,,,,,,,,,,,,,,
Madagascar,MG,-18.555000000000000,43.908000000000001,Barrens Archipelago,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Madagascar,MG,-23.800000000000001,43.649999999999999,Beaches around Besambay and Maromena,Caretta caretta,,,,,,,,,,,,,,,,,,,
Madagascar,MG,-25.033300000000001,47.000000000000000,Beaches between Fort-Dauphin and Manantenina,Caretta caretta,,,,,,,,,,,,,,,,,,,
Madagascar,MG,-13.599188000000000,47.825091999999998,Nosy Iranja Kely,Chelonia mydas,"25","27",Ankivonjy,Madagascar,Madagascar,Marine Protected Area,Working,National,National,"2015",Not described,Community and Wildlife Conservation Society,V,,"1394",1379.54000000000,322.17700000000,47.86240000000,-13.52040000000
Madagascar,MG,-13.599188000000000,47.825091999999998,Nosy Iranja Kely,Eretmochelys imbricata,"25","27",Ankivonjy,Madagascar,Madagascar,Marine Protected Area,Working,National,National,"2015",Not described,Community and Wildlife Conservation Society,V,,"1394",1379.54000000000,322.17700000000,47.86240000000,-13.52040000000
Madagascar,MG,-23.586971999999999,43.739610999999996,Tulear,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Mayotte,YT,-12.984076999999999,45.184291000000002,Comoros Archipelago,Chelonia mydas,"79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000
Mayotte,YT,-12.550000000000001,45.516700000000000,Grande Saziley,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Mayotte,YT,-12.550000000000001,45.549999999999997,"Maoussi, Majicavo 1, 2, 3 and 4",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Mayotte,YT,-12.838540000000000,45.111924999999999,Mayotte Island,Eretmochelys imbricata,"79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000
Mozambique,MZ,-21.833333000000000,35.433332999999998,Bazaruto National Park,Caretta caretta,"27","42",Bazaruto Archipelago,Mozambique,Mozambique,National Park,Working,National,National,"1971",Multiple,MITADER and ANAC,V,,"1430",1359.34000000000,170.33400000000,35.43930000000,-21.73190000000
Mozambique,MZ,-21.833333000000000,35.433332999999998,Bazaruto National Park,Chelonia mydas,"27","42",Bazaruto Archipelago,Mozambique,Mozambique,National Park,Working,National,National,"1971",Multiple,MITADER and ANAC,V,,"1430",1359.34000000000,170.33400000000,35.43930000000,-21.73190000000
Mozambique,MZ,-21.833333000000000,35.433332999999998,Bazaruto National Park,Dermochelys coriacea,"27","42",Bazaruto Archipelago,Mozambique,Mozambique,National Park,Working,National,National,"1971",Multiple,MITADER and ANAC,V,,"1430",1359.34000000000,170.33400000000,35.43930000000,-21.73190000000
Mozambique,MZ,-21.833333000000000,35.433332999999998,Bazaruto National Park,Lepidochelys olivacea,"27","42",Bazaruto Archipelago,Mozambique,Mozambique,National Park,Working,National,National,"1971",Multiple,MITADER and ANAC,V,,"1430",1359.34000000000,170.33400000000,35.43930000000,-21.73190000000
Mozambique,MZ,-25.166271999999999,33.191710999999998,Bilene,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-25.166271999999999,33.191710999999998,Bilene,Dermochelys coriacea,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-26.259440000000001,32.940280000000001,Dubela-Mucombo,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-26.030000000000001,32.909999999999997,Inhaca Island,Caretta caretta,"29","44",Ponta do Ouro,Mozambique,Mozambique,Partial Marine Reserve (PMR),Working,National,National,"2009",Multiple,MITADER and ANAC,V,Part of the Ponta do Ouro-Kosi Bay TFCA?,"678",703.64400000000,378.29800000000,32.93590000000,-26.32600000000
Mozambique,MZ,-26.030000000000001,32.909999999999997,Inhaca Island,Dermochelys coriacea,"29","44",Ponta do Ouro,Mozambique,Mozambique,Partial Marine Reserve (PMR),Working,National,National,"2009",Multiple,MITADER and ANAC,V,Part of the Ponta do Ouro-Kosi Bay TFCA?,"678",703.64400000000,378.29800000000,32.93590000000,-26.32600000000
Mozambique,MZ,-26.767733000000000,32.885522000000002,Malongane,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-26.767733000000000,32.885522000000002,Malongane,Dermochelys coriacea,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-25.393143999999999,32.798222000000003,Manhica,Caretta caretta,,,,,,,,,,,,,,,,,,,
