ID,OBJECTID_1,EEZ,Country,Sovereign,Remarks,Sov_ID,EEZ_ID,ISO_3digit,MRGID,Date_chang,Area_m2,Longitude,Latitude,Kulbicki,MEOW,ID_2,NA_,Lon,Lat,Management,RetentC,RetentP,RetentR,RetentT,RetentC5,RetentP5,RetentR15,RetentT15,OutflowC5,OutflowP5,OutflowR15,OutflowT15,InflowC5,InflowP5,InflowR15,InflowT15,OutDegC5,OutDegP5,OutDegR15,OutDegT15,InDegC5,InDegP5,InDegR15,InDegT15,OutflowC,OutflowP,OutflowR,OutflowT,InflowC,InflowP,InflowR,InflowT,OutDegC,OutDegP,OutDegR,OutDegT,InDegC,InDegP,InDegR,InDegT,NetflowC5,NetflowR15,NetflowP5,NetflowT15,NetflowC,NetflowR,NetflowP,NetflowT
"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,Western Indian,Western Indian Ocean,14687.000000000000000,V14687,43.880000000000003,-12.260000000000000,Fished,75.000000000000000,0.000000000000000,0.000000000000000,45.000000000000000,317.000000000000000,284.000000000000000,103.000000000000000,216.000000000000000,1832.000000000000000,1950.000000000000000,994.000000000000000,1458.000000000000000,6434.000000000000000,7130.000000000000000,2761.000000000000000,6015.000000000000000,83.000000000000000,50.000000000000000,106.000000000000000,57.000000000000000,75.000000000000000,61.000000000000000,96.000000000000000,69.000000000000000,860.000000000000000,1508.000000000000000,1120.000000000000000,780.000000000000000,3340.000000000000000,2008.000000000000000,1670.000000000000000,2670.000000000000000,74.000000000000000,53.000000000000000,53.000000000000000,27.000000000000000,94.000000000000000,67.000000000000000,67.000000000000000,55.000000000000000,"-0.556738447","-0.47057257","-0.570484581","-0.609795263","-0.59047619","-0.197132616","-0.142207053","-0.547826087"
"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,Western Indian,Western Indian Ocean,14700.000000000000000,V14700,43.640000000000001,-12.260000000000000,Fished,5.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,93.000000000000000,68.000000000000000,11.000000000000000,9.000000000000000,1371.000000000000000,944.000000000000000,905.000000000000000,960.000000000000000,1499.000000000000000,950.000000000000000,882.000000000000000,642.000000000000000,170.000000000000000,79.000000000000000,203.000000000000000,94.000000000000000,169.000000000000000,62.000000000000000,199.000000000000000,89.000000000000000,950.000000000000000,2890.000000000000000,1825.000000000000000,810.000000000000000,855.000000000000000,2218.000000000000000,1445.000000000000000,750.000000000000000,119.000000000000000,108.000000000000000,108.000000000000000,40.000000000000000,87.000000000000000,82.000000000000000,82.000000000000000,36.000000000000000,"-0.044599303","0.012870733","-0.003167899","0.198501873","0.052631579","0.116207951","0.13155834","0.038461538"
"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,Western Indian,Western Indian Ocean,14701.000000000000000,V14701,43.799999999999997,-12.260000000000000,Fished,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,533.000000000000000,528.000000000000000,29.000000000000000,54.000000000000000,1697.000000000000000,1434.000000000000000,917.000000000000000,795.000000000000000,1818.000000000000000,1868.000000000000000,562.000000000000000,636.000000000000000,167.000000000000000,64.000000000000000,196.000000000000000,87.000000000000000,98.000000000000000,43.000000000000000,128.000000000000000,50.000000000000000,1515.000000000000000,4048.000000000000000,2870.000000000000000,1515.000000000000000,550.000000000000000,2048.000000000000000,1370.000000000000000,195.000000000000000,158.000000000000000,145.000000000000000,145.000000000000000,49.000000000000000,66.000000000000000,75.000000000000000,75.000000000000000,11.000000000000000,"-0.034423898","0.240027045","-0.131435494","0.111111111","0.467312349","0.353773585","0.32808399","0.771929825"
"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,Western Indian,Western Indian Ocean,14702.000000000000000,V14702,44.439999999999998,-12.340000000000000,Fished,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,3.000000000000000,0.000000000000000,1393.000000000000000,920.000000000000000,1090.000000000000000,891.000000000000000,2140.000000000000000,1368.000000000000000,1849.000000000000000,1554.000000000000000,153.000000000000000,58.000000000000000,207.000000000000000,75.000000000000000,194.000000000000000,87.000000000000000,210.000000000000000,118.000000000000000,1320.000000000000000,3108.000000000000000,2220.000000000000000,780.000000000000000,2060.000000000000000,3326.000000000000000,2465.000000000000000,2115.000000000000000,111.000000000000000,111.000000000000000,111.000000000000000,38.000000000000000,136.000000000000000,117.000000000000000,117.000000000000000,64.000000000000000,"-0.211435041","-0.258251106","-0.195804196","-0.271165644","-0.218934911","-0.052294557","-0.033882499","-0.461139896"
"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,Western Indian,Western Indian Ocean,14703.000000000000000,V14703,43.640000000000001,-12.420000000000000,Fished,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,98.000000000000000,120.000000000000000,17.000000000000000,0.000000000000000,1473.000000000000000,1070.000000000000000,1127.000000000000000,1119.000000000000000,1676.000000000000000,1480.000000000000000,1109.000000000000000,948.000000000000000,154.000000000000000,51.000000000000000,187.000000000000000,76.000000000000000,149.000000000000000,74.000000000000000,180.000000000000000,99.000000000000000,1350.000000000000000,3202.000000000000000,2405.000000000000000,945.000000000000000,1255.000000000000000,2240.000000000000000,1550.000000000000000,1140.000000000000000,119.000000000000000,112.000000000000000,112.000000000000000,32.000000000000000,119.000000000000000,81.000000000000000,81.000000000000000,39.000000000000000,"-0.064464909","0.008050089","-0.160784314","0.082728592","0.03646833","0.216182048","0.176773245","-0.09352518"
"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,Western Indian,Western Indian Ocean,14704.000000000000000,V14704,43.880000000000003,-12.420000000000000,Fished,75.000000000000000,42.000000000000000,55.000000000000000,270.000000000000000,143.000000000000000,102.000000000000000,47.000000000000000,138.000000000000000,3126.000000000000000,2244.000000000000000,1939.000000000000000,1662.000000000000000,2019.000000000000000,592.000000000000000,1203.000000000000000,816.000000000000000,59.000000000000000,33.000000000000000,98.000000000000000,43.000000000000000,19.000000000000000,12.000000000000000,32.000000000000000,26.000000000000000,1925.000000000000000,2452.000000000000000,2180.000000000000000,2310.000000000000000,715.000000000000000,976.000000000000000,990.000000000000000,885.000000000000000,77.000000000000000,79.000000000000000,79.000000000000000,26.000000000000000,25.000000000000000,29.000000000000000,29.000000000000000,9.000000000000000,"0.21516035","0.234245703","0.582510578","0.341404358","0.458333333","0.375394322","0.430571762","0.44600939"
"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,Western Indian,Western Indian Ocean,14705.000000000000000,V14705,43.880000000000003,-12.340000000000000,Fished,105.000000000000000,48.000000000000000,70.000000000000000,45.000000000000000,778.000000000000000,662.000000000000000,89.000000000000000,246.000000000000000,3198.000000000000000,2348.000000000000000,1934.000000000000000,1692.000000000000000,3212.000000000000000,1580.000000000000000,1627.000000000000000,990.000000000000000,56.000000000000000,25.000000000000000,98.000000000000000,35.000000000000000,16.000000000000000,13.000000000000000,29.000000000000000,22.000000000000000,1995.000000000000000,2716.000000000000000,2390.000000000000000,2055.000000000000000,1015.000000000000000,958.000000000000000,1045.000000000000000,765.000000000000000,83.000000000000000,88.000000000000000,88.000000000000000,33.000000000000000,23.000000000000000,27.000000000000000,27.000000000000000,11.000000000000000,"-0.002184087","0.086211738","0.195519348","0.261744966","0.325581395","0.391557496","0.47849755","0.457446809"
"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,Western Indian,Western Indian Ocean,14706.000000000000000,V14706,43.960000000000001,-12.340000000000000,Fished,565.000000000000000,288.000000000000000,670.000000000000000,1350.000000000000000,1693.000000000000000,2218.000000000000000,535.000000000000000,1131.000000000000000,3284.000000000000000,2582.000000000000000,2111.000000000000000,1677.000000000000000,6112.000000000000000,7300.000000000000000,2812.000000000000000,4806.000000000000000,31.000000000000000,11.000000000000000,72.000000000000000,23.000000000000000,21.000000000000000,23.000000000000000,31.000000000000000,15.000000000000000,2440.000000000000000,2424.000000000000000,2510.000000000000000,2220.000000000000000,4100.000000000000000,2760.000000000000000,5450.000000000000000,7710.000000000000000,67.000000000000000,71.000000000000000,71.000000000000000,19.000000000000000,27.000000000000000,29.000000000000000,29.000000000000000,26.000000000000000,"-0.30097914","-0.14239285","-0.477433718","-0.482646923","-0.25382263","-0.369346734","-0.064814815","-0.552870091"
"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,Western Indian,Western Indian Ocean,14707.000000000000000,V14707,43.240000000000002,-11.859999999999999,Fished,20.000000000000000,36.000000000000000,40.000000000000000,15.000000000000000,360.000000000000000,430.000000000000000,61.000000000000000,135.000000000000000,3121.000000000000000,2436.000000000000000,1878.000000000000000,1815.000000000000000,1899.000000000000000,1500.000000000000000,832.000000000000000,909.000000000000000,55.000000000000000,25.000000000000000,104.000000000000000,37.000000000000000,20.000000000000000,12.000000000000000,29.000000000000000,19.000000000000000,1270.000000000000000,2638.000000000000000,2145.000000000000000,1125.000000000000000,415.000000000000000,708.000000000000000,620.000000000000000,330.000000000000000,73.000000000000000,89.000000000000000,89.000000000000000,24.000000000000000,22.000000000000000,23.000000000000000,23.000000000000000,9.000000000000000,"0.243426295","0.38597786","0.237804878","0.332599119","0.507418398","0.551537071","0.576808129","0.546391753"
"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,Western Indian,Western Indian Ocean,14708.000000000000000,V14708,43.399999999999999,-11.380000000000001,Fished,10.000000000000000,0.000000000000000,0.000000000000000,30.000000000000000,289.000000000000000,416.000000000000000,88.000000000000000,51.000000000000000,2926.000000000000000,2516.000000000000000,1814.000000000000000,1203.000000000000000,1498.000000000000000,1334.000000000000000,837.000000000000000,342.000000000000000,25.000000000000000,20.000000000000000,50.000000000000000,34.000000000000000,22.000000000000000,18.000000000000000,26.000000000000000,22.000000000000000,2305.000000000000000,1994.000000000000000,2085.000000000000000,1485.000000000000000,685.000000000000000,358.000000000000000,245.000000000000000,555.000000000000000,54.000000000000000,58.000000000000000,58.000000000000000,10.000000000000000,20.000000000000000,13.000000000000000,13.000000000000000,13.000000000000000,"0.32278481","0.368540174","0.307012987","0.557281553","0.54180602","0.789699571","0.695578231","0.455882353"
