IDN,ID_MJ,MPA_NAME,COUNTRY,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y,ogc_fid,pxlval,area_m2,int_2010_aream2
"36","233",Kingomikwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",61.51440000000,33.86290000000,39.56830000000,-6.99776000000,1.00000000000,"1",30774.9996,7041.775
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,1.00000000000,"1",1365675.3917,868866.977
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,1.00000000000,"1",4685219.2482,1772781.921
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,1.00000000000,"1",3619.6299,3619.630
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,1.00000000000,"1",326358.5294,184066.483
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,1.00000000000,"1",224400.7348,158135.115
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,1.00000000000,"1",603.2235,603.223
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,1.00000000000,"1",623136.3600,623136.360
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,1.00000000000,"1",2290960.3249,190505.123
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,1.00000000000,"1",3805793.1462,1641.353
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,1.00000000000,"1",2881591.6823,1141833.885
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",3614.4489,3614.449
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",192769.3373,162039.266
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",21084.0987,21084.099
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",893374.8492,273091.231
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",278312.3359,141618.269
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",54214.8913,54214.891
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",68069.9560,16006.864
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",83730.9633,32930.714
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",22288.2222,18846.076
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",3091534.7911,146722.557
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",18073.8594,18073.859
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",1457916.7705,144389.678
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",986199.2944,476937.401
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",87354.9718,87354.972
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",10844.0004,3819.305
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",63860.0337,6640.237
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",3614.7017,3614.702
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",602.4497,602.450
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",16868.8628,16868.863
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",3614.7398,3614.740
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,1.00000000000,"1",37352.1741,37352.174
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",2120915.5630,1624044.236
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",58294.5281,17041.802
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",1189331.9699,1126854.959
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",3607.1717,3607.172
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",13804727.7704,5964799.823
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",21635.6983,21635.698
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",601.2295,601.230
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",5409.5659,5409.566
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",600.9582,600.958
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",87138.6917,87138.692
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",5407.8710,5407.871
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",5410.7072,5410.707
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",3607.0042,3607.004
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",344387.3235,200704.760
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",601.2621,231.038
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",1202.4967,1202.497
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",7813.3677,7813.368
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",3696633.7139,2025292.581
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",12622.2931,10317.365
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,1.00000000000,"1",12621.8594,12621.859
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",4218.0694,4218.069
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",21696.4890,21696.489
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",16272.2657,16272.266
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",10245.4359,10245.436
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",4218.6959,4218.696
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",4764747.6025,4225672.037
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",5423.2176,5423.218
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",13858.6899,170.537
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",154899.4029,154800.320
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",4218.9142,4218.914
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",28929.4185,28929.418
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",12053.8078,12053.808
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",34955.7445,34955.745
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",37970.9839,37970.984
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",11451.4922,11451.492
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",10246.0401,10246.040
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",5424.3436,5424.344
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",5424.0160,5424.016
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,1.00000000000,"1",203699.9130,203699.913
"41","238",Mchimchunya,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,CapeNature,Undetermined,,"0",323.59200000000,87.86010000000,39.45390000000,-7.69509000000,1.00000000000,"1",4764747.6025,31833.484
"41","238",Mchimchunya,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,CapeNature,Undetermined,,"0",323.59200000000,87.86010000000,39.45390000000,-7.69509000000,1.00000000000,"1",18092049.6077,4100343.082
"41","238",Mchimchunya,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,CapeNature,Undetermined,,"0",323.59200000000,87.86010000000,39.45390000000,-7.69509000000,1.00000000000,"1",92189.9341,43549.385
"41","238",Mchimchunya,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,CapeNature,Undetermined,,"0",323.59200000000,87.86010000000,39.45390000000,-7.69509000000,1.00000000000,"1",13858.6899,13688.153
"41","238",Mchimchunya,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,CapeNature,Undetermined,,"0",323.59200000000,87.86010000000,39.45390000000,-7.69509000000,1.00000000000,"1",18563245.1187,1354555.652
"42","86",Dokichunda,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ Shungumbili FID 47, part of TBCA/ BMU?","0",497.41800000000,97.90850000000,39.63680000000,-7.80055000000,1.00000000000,"1",4325285.6263,23814.477
