WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,layer,path,area_m2PAs,ogc_fid,pxlval,int_area_m2,clipped_area_m2
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322632.00000000000,"1",6075.2311,6075.2311
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322633.00000000000,"1",1822.5672,1822.5672
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322634.00000000000,"1",607.5222,607.5222
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322627.00000000000,"1",1822.5716,1822.5716
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322629.00000000000,"1",311441.2853,206432.4476
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322630.00000000000,"1",2313930.2907,1694265.2488
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322560.00000000000,"1",10202.4649,10202.4649
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322561.00000000000,"1",2517.0102,2517.0102
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322562.00000000000,"1",84393.6675,84393.6675
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322558.00000000000,"1",157257.7567,157257.7567
