ogc_fid,pxlval,ID,OBJECTID_1,EEZ,Country,Sovereign,Remarks,Sov_ID,EEZ_ID,ISO_3digit,MRGID,Date_chang,Area_m2,Longitude,Latitude,join_aream2
533592.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,1186.6087
533593.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,1186.6087
533594.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,593.3039
533595.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,8306.2626
533596.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,73569.4186
533597.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,843085.1055
533598.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,261641.5380
533599.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,11865.2601
533600.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,109158.6565
533601.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,116274.4812
533602.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,46863.8580
533603.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,46270.4264
533604.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,593.2100
533605.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,441940.8021
533606.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,33217.7106
533607.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,120414.2442
533608.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,189216.3525
533609.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,50417.2957
533610.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,5338.2439
533611.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,16607.7941
533612.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,4151.9307
533613.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,244959.2543
533614.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,59904.0858
533615.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,127511.4493
533616.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,593.0699
533617.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,3558.2981
533618.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,83026.3785
533619.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,367096.0865
533620.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,126308.6745
533621.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,2964.9729
533622.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,5336.9475
533623.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,13637.2148
533624.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,17194.4313
533625.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,592.9077
533626.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,592.9071
533627.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,1185.8102
533628.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,592.9046
533629.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,592.9041
533630.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,1778.7122
533631.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,4150.2694
533632.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,48617.1323
