OBJECTID_1,OBJECTID,COUNTRY,ISO_CC,CONTINENT,Land_Type,Land_Rank,COUNTRYAFF,Shape_STAr,Shape_STLe,Shape_Leng,Shape_Area,ogc_fid,pxlval,int_area_m2
"21","113",,KM,Africa,Medium island,"3",Comoros,0.08470791964,1.59232068029,178890.63883400001,1064951487.86000001431,1.00000000000,"1","44071"
"21","113",,KM,Africa,Medium island,"3",Comoros,0.08470791964,1.59232068029,178890.63883400001,1064951487.86000001431,1.00000000000,"1","38737"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","3567"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","594"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","25550"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","23769"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","165009"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","39807"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","594"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","1783"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","17240"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","941"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","67730"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","23765"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","68919"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","150"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","262604"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","108132"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","18978"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","65354"
"22","114",,KM,Africa,Small island,"2",Comoros,0.05395413150,2.31057262015,259234.32409600000,679822274.67499995232,1.00000000000,"1","60638"
"33","147",Djibouti,DJ,Africa,Primary land,"5",Djibouti,1.79644268967,8.44845317548,947574.11177700001,22591579618.29999923706,1.00000000000,"1","594"
"33","147",Djibouti,DJ,Africa,Primary land,"5",Djibouti,1.79644268967,8.44845317548,947574.11177700001,22591579618.29999923706,1.00000000000,"1","65935"
"33","147",Djibouti,DJ,Africa,Primary land,"5",Djibouti,1.79644268967,8.44845317548,947574.11177700001,22591579618.29999923706,1.00000000000,"1","47514"
"33","147",Djibouti,DJ,Africa,Primary land,"5",Djibouti,1.79644268967,8.44845317548,947574.11177700001,22591579618.29999923706,1.00000000000,"1","1782"
"33","147",Djibouti,DJ,Africa,Primary land,"5",Djibouti,1.79644268967,8.44845317548,947574.11177700001,22591579618.29999923706,1.00000000000,"1","594"
"33","147",Djibouti,DJ,Africa,Primary land,"5",Djibouti,1.79644268967,8.44845317548,947574.11177700001,22591579618.29999923706,1.00000000000,"1","4753"
"33","147",Djibouti,DJ,Africa,Primary land,"5",Djibouti,1.79644268967,8.44845317548,947574.11177700001,22591579618.29999923706,1.00000000000,"1","1782"
"33","147",Djibouti,DJ,Africa,Primary land,"5",Djibouti,1.79644268967,8.44845317548,947574.11177700001,22591579618.29999923706,1.00000000000,"1","105738"
"33","147",Djibouti,DJ,Africa,Primary land,"5",Djibouti,1.79644268967,8.44845317548,947574.11177700001,22591579618.29999923706,1.00000000000,"1","32400"
"33","147",Djibouti,DJ,Africa,Primary land,"5",Djibouti,1.79644268967,8.44845317548,947574.11177700001,22591579618.29999923706,1.00000000000,"1","20192"
"33","147",Djibouti,DJ,Africa,Primary land,"5",Djibouti,1.79644268967,8.44845317548,947574.11177700001,22591579618.29999923706,1.00000000000,"1","3864"
"33","147",Djibouti,DJ,Africa,Primary land,"5",Djibouti,1.79644268967,8.44845317548,947574.11177700001,22591579618.29999923706,1.00000000000,"1","114025"
"33","147",Djibouti,DJ,Africa,Primary land,"5",Djibouti,1.79644268967,8.44845317548,947574.11177700001,22591579618.29999923706,1.00000000000,"1","26565"
"33","147",Djibouti,DJ,Africa,Primary land,"5",Djibouti,1.79644268967,8.44845317548,947574.11177700001,22591579618.29999923706,1.00000000000,"1","65331"
"33","147",Djibouti,DJ,Africa,Primary land,"5",Djibouti,1.79644268967,8.44845317548,947574.11177700001,22591579618.29999923706,1.00000000000,"1","58078"
