WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,layer,path,area_m2PAs,ogc_fid,pxlval,int_area_m2,clipped_area_m2
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,1.00000000000,"1",173844.4352,173844.4352
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,1.00000000000,"1",50422.4101,50422.4101
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,1.00000000000,"1",12089.1870,12089.1870
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,1.00000000000,"1",88426.1992,9383.4300
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,1.00000000000,"1",198677.6117,198677.6117
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,1.00000000000,"1",11370525.8231,10891342.3999
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,1.00000000000,"1",3645.0115,3645.0115
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,1.00000000000,"1",7003.2864,7003.2864
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,1.00000000000,"1",16402.5395,16402.5395
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,1.00000000000,"1",5467.3337,5467.3337
