IDN,ID_MJ,MPA_NAME,COUNTRY,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y,ogc_fid,pxlval,area_m2,int_aream2_2016
"31","183",Shingi Iyuu,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,Proposed,Gear Restriction,,Undetermined,Overlaps with Kiunga,"2",1.81038000000,6.23842000000,41.21090000000,-1.98934000000,322740.00000000000,"1",626330.1684,40869.7582
"32","184",Tausi,Kenya,Kenya,No Take Zone,Proposed,Local,LMMA,Proposed,No-take area,,Undetermined,,"3",2.61734000000,8.55320000000,40.96430000000,-2.17324000000,506896.00000000000,"1",20035017.6436,3404.3932
"33","185",Mtanga wa Bandari,Kenya,Kenya,Seasonal closure,Proposed,Local,LMMA,Proposed,Seasonal closure,,Undetermined,,"1",1.33054000000,4.75475000000,41.01190000000,-2.17717000000,562797.00000000000,"1",3725309.2470,562.8362
"34","84",Mjimwonge,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,Overlaps w/ Kendwa FID 84 & Sinda,"0",73.71440000000,33.18790000000,39.39050000000,-6.82104000000,584506.00000000000,"1",603.6274,603.6274
"36","233",Kingomikwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",61.51440000000,33.86290000000,39.56830000000,-6.99776000000,462617.00000000000,"1",30774.9996,7041.7751
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462649.00000000000,"1",615294.3303,615294.3303
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462622.00000000000,"1",3016.4868,3016.4868
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462623.00000000000,"1",2413.1871,2413.1871
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462624.00000000000,"1",1809.8883,1809.8883
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462655.00000000000,"1",3016.0631,1700.8254
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462657.00000000000,"1",1208839.0313,773365.0929
