ogc_fid,pxlval,IDN,ID_MJ,MPA_NAME,COUNTRY,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y,int_area_m2_2016
528340.00000000000,"1","14","16",Ambodivahibe,Madagascar,Madagascar,Marine Protected Area,Working,National,National,"2015",Not described,Community and Wildlife Conservation Society,V,,"466",466.01000000000,182.06900000000,49.52650000000,-12.29900000000,593.993
528341.00000000000,"1","14","16",Ambodivahibe,Madagascar,Madagascar,Marine Protected Area,Working,National,National,"2015",Not described,Community and Wildlife Conservation Society,V,,"466",466.01000000000,182.06900000000,49.52650000000,-12.29900000000,593.993
528342.00000000000,"1","14","16",Ambodivahibe,Madagascar,Madagascar,Marine Protected Area,Working,National,National,"2015",Not described,Community and Wildlife Conservation Society,V,,"466",466.01000000000,182.06900000000,49.52650000000,-12.29900000000,7121.657
528343.00000000000,"1","14","16",Ambodivahibe,Madagascar,Madagascar,Marine Protected Area,Working,National,National,"2015",Not described,Community and Wildlife Conservation Society,V,,"466",466.01000000000,182.06900000000,49.52650000000,-12.29900000000,5381.185
528344.00000000000,"1","14","16",Ambodivahibe,Madagascar,Madagascar,Marine Protected Area,Working,National,National,"2015",Not described,Community and Wildlife Conservation Society,V,,"466",466.01000000000,182.06900000000,49.52650000000,-12.29900000000,29267.456
528345.00000000000,"1","14","16",Ambodivahibe,Madagascar,Madagascar,Marine Protected Area,Working,National,National,"2015",Not described,Community and Wildlife Conservation Society,V,,"466",466.01000000000,182.06900000000,49.52650000000,-12.29900000000,1187.983
528346.00000000000,"1","14","16",Ambodivahibe,Madagascar,Madagascar,Marine Protected Area,Working,National,National,"2015",Not described,Community and Wildlife Conservation Society,V,,"466",466.01000000000,182.06900000000,49.52650000000,-12.29900000000,2375.965
528347.00000000000,"1","14","16",Ambodivahibe,Madagascar,Madagascar,Marine Protected Area,Working,National,National,"2015",Not described,Community and Wildlife Conservation Society,V,,"466",466.01000000000,182.06900000000,49.52650000000,-12.29900000000,5345.903
528348.00000000000,"1","14","16",Ambodivahibe,Madagascar,Madagascar,Marine Protected Area,Working,National,National,"2015",Not described,Community and Wildlife Conservation Society,V,,"466",466.01000000000,182.06900000000,49.52650000000,-12.29900000000,0.014
528352.00000000000,"1","14","16",Ambodivahibe,Madagascar,Madagascar,Marine Protected Area,Working,National,National,"2015",Not described,Community and Wildlife Conservation Society,V,,"466",466.01000000000,182.06900000000,49.52650000000,-12.29900000000,278540.430
