"","species","pu","amount"
"1",3,100,0.058154013181699
"2",3,1000,0.000471346904738224
"3",3,10005,0.00597392246621475
"4",3,10007,0.0055991332377214
"5",3,10012,0.0062598532965389
"6",3,10021,0.0146756416334695
"7",3,10037,0.0624009686769285
"8",3,10054,0.00703876358633116
"9",3,10064,0.029981251833337
"10",3,10068,0.0462014851369173
"11",3,10073,0.0487475023668129
"12",3,10080,0.0242944277915745
"13",3,10081,9.01220304258168e-05
"14",3,10086,0.00149263605548441
"15",3,10108,0.0145128646256283
"16",3,10114,0.00467973109609308
"17",3,10120,0.0431187887323099
"18",3,10129,0.00545414603932132
"19",3,10132,0.0284326966620671
"20",3,10133,0.0416840788421808
"21",3,10149,0.0566094535207482
"22",3,10182,0.0109249278515279
"23",3,1020,0.00436493823065283
"24",3,10210,0.00111735980251012
"25",3,10232,0.00340982168409042
"26",3,10235,0.000285583240485052
"27",3,10246,0.00662955942795053
"28",3,10248,0.0209638121053307
"29",3,10250,0.0165732305355314
"30",3,10266,0.0218225862653255
"31",3,10268,0.0246947271873315
"32",3,10272,0.0148840483711704
"33",3,10274,0.00644101195601234
"34",3,10284,0.0467140782268494
"35",3,10291,0.00690697319953749
"36",3,10310,0.0230758152611747
"37",3,10318,0.0590837057197498
"38",3,10325,0.024482862630098
"39",3,1034,0.0270693934035818
"40",3,10349,0.0588797349111522
"41",3,10366,0.021030142636733
"42",3,1037,0.0412076996964584
"43",3,10388,0.036251236095463
"44",3,10392,0.059432577374297
"45",3,10415,0.024784622950664
"46",3,10418,0.0285611011954581
"47",3,10434,0.00431907856708393
"48",3,1044,0.0613295209059022
"49",3,10450,0.0362763977379369
"50",3,10456,0.00783497903221927
"51",3,10471,0.0409643735011994
"52",3,1048,0.0440497352610982
"53",3,10486,0.000803110674988013
"54",3,10524,0.00161061809157487
"55",3,10527,0.0623761911673263
"56",3,10530,0.0271329221043598
"57",3,10534,1.94237813288346e-05
"58",3,10537,0.0219681307854792
"59",3,10538,0.0574433478445496
"60",3,10545,0.0160373386107111
"61",3,10550,0.059305010455182
"62",3,10557,0.00482451162898176
"63",3,10560,0.0106229630137789
"64",3,10567,0.020387238131218
"65",3,10569,0.0343032616112858
"66",3,10603,0.0111543289715647
"67",3,10620,0.0364927416453522
"68",3,10622,0.062500000344135
"69",3,10623,0.0549425836784573
"70",3,10698,0.0490393090098433
"71",3,10703,0.00982029207792143
"72",3,10709,0.0437383475611792
"73",3,10729,0.0253627429212234
"74",3,10737,0.0555567902237104
"75",3,10738,0.00337078439190798
"76",3,10741,0.0616966806997859
"77",3,10748,0.000516083244143985
"78",3,10753,0.0033674774266337
"79",3,10757,0.0442724627063955
"80",3,10767,0.02115139666324
"81",3,10770,0.0186233700746137
"82",3,1078,0.000945132773974445
"83",3,10797,0.0130225390002867
"84",3,10803,0.025291375871151
"85",3,10842,0.0436731921243609
"86",3,10859,0.000635011904055718
"87",3,1086,0.0402432365173065
"88",3,10861,0.000339099871607032
"89",3,10862,0.00127895032875915
"90",3,10883,0.0624752420790014
"91",3,10889,0.00284375970039633
"92",3,10897,0.0217939297881997
"93",3,10899,0.00912877307755593
"94",3,10911,0.0201427497208228
"95",3,10914,0.010845398037334
"96",3,10917,0.0624999999994785
"97",3,10954,0.00221166483684722
"98",3,10960,0.0527954877437715
"99",3,10961,8.48200308041996e-05
"100",3,10963,0.00117928314178158
"101",3,10979,0.00138006521274778
"102",3,10993,0.0197744421829625
"103",3,10998,0.0624009650798049
"104",3,11,0.0028471133912998
"105",3,11001,0.0026977920367592
"106",3,11020,0.0105833916076756
"107",3,11051,0.0222877920912955
"108",3,11073,0.0133717145657965
"109",3,11097,0.00415972031341786
"110",3,11099,0.000248783360460773
"111",3,11102,0.0532996426414295
"112",3,11111,0.0538356661967061
"113",3,11136,0.00757423943112679
"114",3,11147,0.00060327941268729
"115",3,11153,0.0116196026182266
"116",3,11166,0.0244094635591757
"117",3,11168,0.0623630515726688
"118",3,11177,0.0500714085080566
"119",3,11180,0.00814973824474542
"120",3,11181,0.0348843088328785
"121",3,11189,0.0152811388942972
"122",3,11215,0.00380036002995761
"123",3,1122,0.0126862453576683
"124",3,11222,0.00451914940966107
"125",3,1124,0.00065193845082866
"126",3,11264,0.0339296869996041
"127",3,11274,0.0300106960074124
"128",3,11280,0.0588416215335704
"129",3,11294,0.0105096377710344
"130",3,1130,0.00789986655822024
"131",3,11306,0.0303780010653992
"132",3,11319,0.00315928096698411
"133",3,11328,0.0159869340408896
"134",3,11330,0.0316122896328826
"135",3,11332,0.0182729445429915
"136",3,11338,0.0172577741049321
"137",3,11349,0.0546345653391778
"138",3,11350,0.06235149210854
"139",3,11366,0.0549857989836888
"140",3,11389,0.0288871338641085
"141",3,11392,0.00245665310623217
"142",3,11395,0.00495101569648832
"143",3,11411,0.0501873151842617
"144",3,11429,2.47522734305821e-05
"145",3,11442,0.0301577526487261
"146",3,11457,0.00808028522640693
"147",3,11461,0.00603369734013081
"148",3,11466,0.0596706345715909
"149",3,11531,0.000170982254778966
"150",3,11533,0.0436672864090104
"151",3,11543,0.00615387171729282
"152",3,1156,0.0519210388585189
"153",3,11564,9.90103591275401e-05
"154",3,11566,0.000740531910423888
"155",3,11584,0.0223865647937381
"156",3,11587,0.00633922619782574
"157",3,11593,0.0179212071832498
"158",3,11605,0.0133376760340509
"159",3,11607,0.0624999999973692
"160",3,11610,0.00138613970884634
"161",3,11621,2.10510641802102e-06
"162",3,11631,0.0371546519592406
"163",3,11668,0.0459804906354933
"164",3,11678,0.0128268156382069
"165",3,11679,0.000692884595666546
"166",3,11680,0.0451184007669985
"167",3,11699,2.47530509214848e-05
"168",3,11720,5.30192748084664e-06
"169",3,11744,0.0310714409855004
"170",3,11745,0.0275731534969213
"171",3,11748,0.000687884422077797
"172",3,11749,0.0196393675423662
"173",3,11753,0.0135300388845243
"174",3,11758,0.0624999999994785
"175",3,11773,0.00571343651259411
"176",3,11784,0.00345280739274994
"177",3,11786,0.0543871917455302
"178",3,1181,0.0032322050176193
"179",3,11816,0.0118319990373831
"180",3,11820,0.0115703920061423
"181",3,1183,0.0362724627665735
"182",3,11845,4.24194323709817e-05
"183",3,11857,0.0050002489848868
"184",3,11859,0.018290077172307
"185",3,1189,0.0009653308239826
"186",3,11899,0.051311772691325
"187",3,1190,0.0273383022983714
"188",3,11913,0.00240682884178404
"189",3,11914,0.0171525397734566
"190",3,11932,0.0389546476954569
"191",3,11934,0.000260118717654608
"192",3,11941,0.00572233849949017
"193",3,11963,0.0413993195511628
"194",3,11976,0.0276096127657192
"195",3,12009,0.00104758840579352
"196",3,1201,0.022676004171683
"197",3,12013,0.0076376721617226
"198",3,12037,0.0597493121682652
"199",3,12050,0.00132518882560288
"200",3,12066,0.0249375288970254
"201",3,12076,0.0198740081590797
"202",3,12087,0.0137423037205916
"203",3,12089,0.032334188560448
"204",3,12105,0.0280902657645323
"205",3,12108,0.0166776292697328
"206",3,12129,0.0170793855739143
"207",3,12138,0.0616299303892665
"208",3,1214,0.00845854297438497
"209",3,12149,0.00530434955692384
"210",3,12155,0.00657315297723934
"211",3,12156,0.000537908795008436
"212",3,12161,0.0286457843641147
"213",3,1217,0.0453845858368167
"214",3,12171,0.00576539041091804
"215",3,12179,0.0587396410989797
"216",3,1220,0.052329599981357
"217",3,12227,0.000687951134284958
"218",3,1223,0.00619201387415221
"219",3,12235,0.0543628187713657
"220",3,1224,0.00118806771655427
"221",3,12272,0.00315376378880488
"222",3,12292,0.00673424561515959
"223",3,12295,0.0177357907218263
"224",3,12300,0.00352544489460066
"225",3,12314,0.0602805349171855
"226",3,12316,0.000148488585842773
"227",3,12319,0.0206934813399356
"228",3,12337,7.23485885444097e-06
"229",3,12341,0.0317560911296378
"230",3,12346,0.0460969078486481
"231",3,12357,0.000171123206796357
"232",3,1237,0.0370314656214495
"233",3,12391,0.000491927706653718
"234",3,12392,0.0591368153831308
"235",3,12393,0.0104511240485194
"236",3,12397,0.0166881700474462
"237",3,12400,0.0210889190211239
"238",3,12414,0.00556949493596237
"239",3,12416,0.0203944345687758
"240",3,12424,0.000472126634906977
"241",3,12426,0.0477988398618251
"242",3,12446,0.00584983992042393
"243",3,12453,0.0160302852848121
"244",3,12462,0.000129710654032649
"245",3,1247,0.0088614350907933
"246",3,12481,0.0524790109965859
"247",3,12486,0.00356797340855654
"248",3,12513,0.0451436274812132
"249",3,12518,0.000940289188340306
"250",3,12526,0.057564844487533
"251",3,12542,0.000882684397867939
"252",3,12565,0.0338517408483317
"253",3,1257,0.0576738942842968
"254",3,12578,0.00644706084203464
"255",3,12586,0.0076545369653063
"256",3,12589,0.00569517715903126
"257",3,1259,0.0189056934008971
"258",3,12599,0.00894360544511728
"259",3,12610,0.00982088130220724
"260",3,12654,0.0054535991515142
"261",3,12657,0.00485697090354981
"262",3,1269,0.0110071796182923
"263",3,12703,0.000306607090166304
"264",3,12711,0.0106014807926824
"265",3,12725,0.000470293927581515
"266",3,12729,0.00287612425480178
"267",3,12738,0.0131124967951837
"268",3,12744,2.76649408042431e-07
"269",3,12747,0.0185524626232851
"270",3,12756,0.00846267329875909
"271",3,12757,0.0370489991990403
"272",3,12758,0.0018290121890842
"273",3,12763,0.0416435530542652
"274",3,12771,0.0450121423506787
"275",3,12784,0.011981123486599
"276",3,12804,0.00048536800006032
"277",3,12805,0.000247525090080686
"278",3,12807,0.0182426223968388
"279",3,12836,0.0151187029402128
"280",3,1287,0.0619058249045991
"281",3,12879,0.0370461484611114
"282",3,12883,0.00431751662229141
"283",3,12902,0.0238055277585834
"284",3,12916,0.0187212695227598
"285",3,12924,0.0120495480649181
"286",3,12925,0.0021038441789397
"287",3,12935,0.0310656730016419
"288",3,12939,0.0130509017619553
"289",3,12940,0.000297038276741281
"290",3,12945,0.00351868196967803
"291",3,12950,0.0624999999991767
"292",3,12953,0.00287520189040899
"293",3,12971,0.00565292522713449
"294",3,12989,0.0136017237227731
"295",3,12993,0.0520976815956351
"296",3,12994,0.0524905048056894
"297",3,13,0.049816358222081
"298",3,13004,0.0600643117335495
"299",3,13009,0.0105027231325114
"300",3,13011,0.0624999997791447
"301",3,13015,0.0222106301380338
"302",3,13017,0.00861108379594912
"303",3,13028,0.0624972390643879
"304",3,1304,0.00379303167975087
"305",3,13051,0.0393932781107798
"306",3,13063,0.0326724147442039
"307",3,13073,0.0601569562798007
"308",3,13123,0.0090379746726295
"309",3,1314,0.00318706290489462
"310",3,13166,0.00167235912274837
"311",3,13178,4.95046482942998e-05
"312",3,13186,0.00807221876378015
"313",3,13200,0.0625000000003576
"314",3,13202,0.00510451606863458
"315",3,13206,0.018092481609008
"316",3,13239,0.0106531559291864
