ogc_fid,pxlval,COUNTRY,COUNTRYAFF,int_aream2
6713.00000000000,"1",MADAGASCAR,Madagascar,2338.389
6714.00000000000,"1",MADAGASCAR,Madagascar,1753.758
6715.00000000000,"1",MADAGASCAR,Madagascar,11107.129
6716.00000000000,"1",MADAGASCAR,Madagascar,5261.268
6717.00000000000,"1",MADAGASCAR,Madagascar,2898.875
6718.00000000000,"1",MADAGASCAR,Madagascar,4676.661
6720.00000000000,"1",MADAGASCAR,Madagascar,3120944.880
6721.00000000000,"1",MADAGASCAR,Madagascar,1169.158
6723.00000000000,"1",MADAGASCAR,Madagascar,8184.084
6724.00000000000,"1",MADAGASCAR,Madagascar,129460.074
6724.00000000000,"1",MADAGASCAR,Madagascar,1872833.232
6725.00000000000,"1",MADAGASCAR,Madagascar,4092.003
6726.00000000000,"1",MADAGASCAR,Madagascar,2338.284
6727.00000000000,"1",MADAGASCAR,Madagascar,584.566
6729.00000000000,"1",MADAGASCAR,Madagascar,3507.361
6732.00000000000,"1",MADAGASCAR,Madagascar,541906.761
6733.00000000000,"1",MADAGASCAR,Madagascar,1206.880
6736.00000000000,"1",MADAGASCAR,Madagascar,303.068
6737.00000000000,"1",MADAGASCAR,Madagascar,23.502
6740.00000000000,"1",MADAGASCAR,Madagascar,846493.389
6743.00000000000,"1",MADAGASCAR,Madagascar,7599.157
6746.00000000000,"1",MADAGASCAR,Madagascar,5260.947
6747.00000000000,"1",MADAGASCAR,Madagascar,1259193.500
6747.00000000000,"1",MADAGASCAR,Madagascar,1963.716
6749.00000000000,"1",MADAGASCAR,Madagascar,17536.467
6750.00000000000,"1",MADAGASCAR,Madagascar,3507.291
6751.00000000000,"1",MADAGASCAR,Madagascar,2799965.962
6752.00000000000,"1",MADAGASCAR,Madagascar,11106.351
6753.00000000000,"1",MADAGASCAR,Madagascar,74237.573
6755.00000000000,"1",MADAGASCAR,Madagascar,827.499
6756.00000000000,"1",MADAGASCAR,Madagascar,4091.784
6758.00000000000,"1",MADAGASCAR,Madagascar,4676.320
6759.00000000000,"1",MADAGASCAR,Madagascar,20862.526
6761.00000000000,"1",MADAGASCAR,Madagascar,345571.826
6762.00000000000,"1",MADAGASCAR,Madagascar,4091.766
6763.00000000000,"1",MADAGASCAR,Madagascar,4676.295
6764.00000000000,"1",MADAGASCAR,Madagascar,4091.752
6765.00000000000,"1",MADAGASCAR,Madagascar,2338.139
6766.00000000000,"1",MADAGASCAR,Madagascar,30049.552
6767.00000000000,"1",MADAGASCAR,Madagascar,2922.669
6768.00000000000,"1",MADAGASCAR,Madagascar,1034603.212
6770.00000000000,"1",MADAGASCAR,Madagascar,173037.165
6771.00000000000,"1",MADAGASCAR,Madagascar,1169.065
6772.00000000000,"1",MADAGASCAR,Madagascar,9937.052
6773.00000000000,"1",MADAGASCAR,Madagascar,8768.002
6774.00000000000,"1",MADAGASCAR,Madagascar,33318.445
6775.00000000000,"1",MADAGASCAR,Madagascar,1169.062
6776.00000000000,"1",MADAGASCAR,Madagascar,7014.353
6777.00000000000,"1",MADAGASCAR,Madagascar,3507.182
6778.00000000000,"1",MADAGASCAR,Madagascar,16951.371
6779.00000000000,"1",MADAGASCAR,Madagascar,125673.938
6780.00000000000,"1",MADAGASCAR,Madagascar,14613.165
6781.00000000000,"1",MADAGASCAR,Madagascar,5260.719
6782.00000000000,"1",MADAGASCAR,Madagascar,610261.060
6783.00000000000,"1",MADAGASCAR,Madagascar,161330.077
6784.00000000000,"1",MADAGASCAR,Madagascar,42085.779
6785.00000000000,"1",MADAGASCAR,Madagascar,24145.526
6786.00000000000,"1",MADAGASCAR,Madagascar,8183.297
6787.00000000000,"1",MADAGASCAR,Madagascar,6429.736
6788.00000000000,"1",MADAGASCAR,Madagascar,25718.960
6789.00000000000,"1",MADAGASCAR,Madagascar,7014.238
6790.00000000000,"1",MADAGASCAR,Madagascar,16951.104
6791.00000000000,"1",MADAGASCAR,Madagascar,1169.038
6792.00000000000,"1",MADAGASCAR,Madagascar,1169.037
6793.00000000000,"1",MADAGASCAR,Madagascar,80663.708
6794.00000000000,"1",MADAGASCAR,Madagascar,3507.107
6795.00000000000,"1",MADAGASCAR,Madagascar,4676.128
6796.00000000000,"1",MADAGASCAR,Madagascar,1895649.552
6797.00000000000,"1",MADAGASCAR,Madagascar,9936.730
6798.00000000000,"1",MADAGASCAR,Madagascar,578485.670
6799.00000000000,"1",MADAGASCAR,Madagascar,3399767.872
6800.00000000000,"1",MADAGASCAR,Madagascar,11105.739
6801.00000000000,"1",MADAGASCAR,Madagascar,6429.603
6802.00000000000,"1",MADAGASCAR,Madagascar,5845.090
6803.00000000000,"1",MADAGASCAR,Madagascar,584.508
6804.00000000000,"1",MADAGASCAR,Madagascar,584.508
6805.00000000000,"1",MADAGASCAR,Madagascar,3507.036
6806.00000000000,"1",MADAGASCAR,Madagascar,147297.275
6807.00000000000,"1",MADAGASCAR,Madagascar,4091.510
6808.00000000000,"1",MADAGASCAR,Madagascar,801956.775
6809.00000000000,"1",MADAGASCAR,Madagascar,4675.936
6810.00000000000,"1",MADAGASCAR,Madagascar,1168.969
6811.00000000000,"1",MADAGASCAR,Madagascar,494486.738
6812.00000000000,"1",MADAGASCAR,Madagascar,2922.399
6813.00000000000,"1",MADAGASCAR,Madagascar,1753.433
6814.00000000000,"1",MADAGASCAR,Madagascar,11689.493
6815.00000000000,"1",MADAGASCAR,Madagascar,52601.988
6816.00000000000,"1",MADAGASCAR,Madagascar,8313608.277
6817.00000000000,"1",MADAGASCAR,Madagascar,22792.015
6818.00000000000,"1",MADAGASCAR,Madagascar,584.406
6819.00000000000,"1",MADAGASCAR,Madagascar,1168.810
6820.00000000000,"1",MADAGASCAR,Madagascar,4090.832
6821.00000000000,"1",MADAGASCAR,Madagascar,584.405
6822.00000000000,"1",MADAGASCAR,Madagascar,12856.817
6823.00000000000,"1",MADAGASCAR,Madagascar,3506.230
6824.00000000000,"1",MADAGASCAR,Madagascar,35646.382
6825.00000000000,"1",MADAGASCAR,Madagascar,1168.712
6826.00000000000,"1",MADAGASCAR,Madagascar,5843.418
6827.00000000000,"1",MADAGASCAR,Madagascar,4674.675
6828.00000000000,"1",MADAGASCAR,Madagascar,16945.662
6828.00000000000,"1",MADAGASCAR,Madagascar,5563.821
6829.00000000000,"1",MADAGASCAR,Madagascar,5843.337
6830.00000000000,"1",MADAGASCAR,Madagascar,5259.001
6831.00000000000,"1",MADAGASCAR,Madagascar,3505.995
6832.00000000000,"1",MADAGASCAR,Madagascar,9933.645
6833.00000000000,"1",MADAGASCAR,Madagascar,9349.336
6834.00000000000,"1",MADAGASCAR,Madagascar,13439.580
6835.00000000000,"1",MADAGASCAR,Madagascar,12855.175
6836.00000000000,"1",MADAGASCAR,Madagascar,55511.117
6836.00000000000,"1",MADAGASCAR,Madagascar,54144.783
6837.00000000000,"1",MADAGASCAR,Madagascar,8180.542
6838.00000000000,"1",MADAGASCAR,Madagascar,584.320
6839.00000000000,"1",MADAGASCAR,Madagascar,109268.322
6840.00000000000,"1",MADAGASCAR,Madagascar,42070.895
6841.00000000000,"1",MADAGASCAR,Madagascar,4674.533
6842.00000000000,"1",MADAGASCAR,Madagascar,9933.373
6843.00000000000,"1",MADAGASCAR,Madagascar,153675.835
6844.00000000000,"1",MADAGASCAR,Madagascar,2337.259
6845.00000000000,"1",MADAGASCAR,Madagascar,20354.781
6845.00000000000,"1",MADAGASCAR,Madagascar,40745.446
6846.00000000000,"1",MADAGASCAR,Madagascar,17529.359
6847.00000000000,"1",MADAGASCAR,Madagascar,14023.476
6848.00000000000,"1",MADAGASCAR,Madagascar,19282.239
6849.00000000000,"1",MADAGASCAR,Madagascar,42070.386
6850.00000000000,"1",MADAGASCAR,Madagascar,4090.162
6851.00000000000,"1",MADAGASCAR,Madagascar,15776.323
6852.00000000000,"1",MADAGASCAR,Madagascar,4090.130
6853.00000000000,"1",MADAGASCAR,Madagascar,7595.941
6854.00000000000,"1",MADAGASCAR,Madagascar,3505.787
6855.00000000000,"1",MADAGASCAR,Madagascar,6339103.070
6856.00000000000,"1",MADAGASCAR,Madagascar,7595.860
6857.00000000000,"1",MADAGASCAR,Madagascar,9348.691
6858.00000000000,"1",MADAGASCAR,Madagascar,15191.255
6859.00000000000,"1",MADAGASCAR,Madagascar,7011.339
6860.00000000000,"1",MADAGASCAR,Madagascar,14022.268
6861.00000000000,"1",MADAGASCAR,Madagascar,3068111.309
6862.00000000000,"1",MADAGASCAR,Madagascar,3505.560
6863.00000000000,"1",MADAGASCAR,Madagascar,5842.520
7638.00000000000,"1",MOZAMBIQUE,Mozambique,26445.059
7639.00000000000,"1",MOZAMBIQUE,Mozambique,210972.618
7640.00000000000,"1",MOZAMBIQUE,Mozambique,234171.199
7641.00000000000,"1",MOZAMBIQUE,Mozambique,11752.604
7642.00000000000,"1",MOZAMBIQUE,Mozambique,1109457.260
7643.00000000000,"1",MOZAMBIQUE,Mozambique,30555.253
7644.00000000000,"1",MOZAMBIQUE,Mozambique,21735.640
7645.00000000000,"1",MOZAMBIQUE,Mozambique,5287.026
7646.00000000000,"1",MOZAMBIQUE,Mozambique,8811.684
7647.00000000000,"1",MOZAMBIQUE,Mozambique,4112.112
7648.00000000000,"1",MOZAMBIQUE,Mozambique,189745.502
7649.00000000000,"1",MOZAMBIQUE,Mozambique,1174.879
7650.00000000000,"1",MOZAMBIQUE,Mozambique,587.439
7651.00000000000,"1",MOZAMBIQUE,Mozambique,4112.068
7652.00000000000,"1",MOZAMBIQUE,Mozambique,587.435
7653.00000000000,"1",MOZAMBIQUE,Mozambique,4699.464
7654.00000000000,"1",MOZAMBIQUE,Mozambique,157432.652
7655.00000000000,"1",MOZAMBIQUE,Mozambique,19972.496
7656.00000000000,"1",MOZAMBIQUE,Mozambique,140983.121
7657.00000000000,"1",MOZAMBIQUE,Mozambique,5300.560
7658.00000000000,"1",MOZAMBIQUE,Mozambique,2349.682
7659.00000000000,"1",MOZAMBIQUE,Mozambique,1880407.672
7660.00000000000,"1",MOZAMBIQUE,Mozambique,7636.208
7661.00000000000,"1",MOZAMBIQUE,Mozambique,4699.177
7662.00000000000,"1",MOZAMBIQUE,Mozambique,12335.287
7663.00000000000,"1",MOZAMBIQUE,Mozambique,1762.150
7664.00000000000,"1",MOZAMBIQUE,Mozambique,2349.497
7665.00000000000,"1",MOZAMBIQUE,Mozambique,6461.090
7666.00000000000,"1",MOZAMBIQUE,Mozambique,4698.936
7667.00000000000,"1",MOZAMBIQUE,Mozambique,3524.139
7668.00000000000,"1",MOZAMBIQUE,Mozambique,7048.266
7669.00000000000,"1",MOZAMBIQUE,Mozambique,685.063
7670.00000000000,"1",MOZAMBIQUE,Mozambique,4025.377
7671.00000000000,"1",MOZAMBIQUE,Mozambique,2114605.109
7672.00000000000,"1",MOZAMBIQUE,Mozambique,3524.081
7673.00000000000,"1",MOZAMBIQUE,Mozambique,20223.124
7674.00000000000,"1",MOZAMBIQUE,Mozambique,5286.097
7675.00000000000,"1",MOZAMBIQUE,Mozambique,8115.624
7675.00000000000,"1",MOZAMBIQUE,Mozambique,10572.164
7676.00000000000,"1",MOZAMBIQUE,Mozambique,45225.176
7678.00000000000,"1",MOZAMBIQUE,Mozambique,10609.787
7681.00000000000,"1",MOZAMBIQUE,Mozambique,4698.652
7683.00000000000,"1",MOZAMBIQUE,Mozambique,1761.986
7684.00000000000,"1",MOZAMBIQUE,Mozambique,32373.403
7685.00000000000,"1",MOZAMBIQUE,Mozambique,2349.305
7686.00000000000,"1",MOZAMBIQUE,Mozambique,587.325
7687.00000000000,"1",MOZAMBIQUE,Mozambique,28779.023
7688.00000000000,"1",MOZAMBIQUE,Mozambique,587.324
7690.00000000000,"1",MOZAMBIQUE,Mozambique,230.845
7693.00000000000,"1",MOZAMBIQUE,Mozambique,98081.984
7696.00000000000,"1",MOZAMBIQUE,Mozambique,1898770.591
7698.00000000000,"1",MOZAMBIQUE,Mozambique,85158.052
7699.00000000000,"1",MOZAMBIQUE,Mozambique,1174.531
7699.00000000000,"1",MOZAMBIQUE,Mozambique,1174.531
7703.00000000000,"1",MOZAMBIQUE,Mozambique,587.260
7704.00000000000,"1",MOZAMBIQUE,Mozambique,6459.831
7705.00000000000,"1",MOZAMBIQUE,Mozambique,587.256
7706.00000000000,"1",MOZAMBIQUE,Mozambique,2936.277
7707.00000000000,"1",MOZAMBIQUE,Mozambique,2936.259
7708.00000000000,"1",MOZAMBIQUE,Mozambique,103277.495
7709.00000000000,"1",MOZAMBIQUE,Mozambique,5872.505
